Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Hero,53710019,123685538,31000000.0,Miramax,PG-13,120,Action,2004
Hero,53710019,123685538,31000000.0,Miramax,PG-13,120,Adventure,2004
Hero,53710019,123685538,31000000.0,Miramax,PG-13,120,History,2004
King Arthur,51882244,151685613,120000000.0,Walt Disney Studios Motion Pictures,PG-13,126,Action,2004
King Arthur,51882244,151685613,120000000.0,Walt Disney Studios Motion Pictures,PG-13,126,Adventure,2004
King Arthur,51882244,151685613,120000000.0,Walt Disney Studios Motion Pictures,PG-13,126,Drama,2004
King Arthur,51882244,151685613,120000000.0,Walt Disney Studios Motion Pictures,PG-13,126,History,2004
King Arthur,51882244,151685613,120000000.0,Walt Disney Studios Motion Pictures,PG-13,126,War,2004
A Cinderella Story,51438175,18629734,19000000.0,Warner Bros.,PG,95,Comedy,2004
A Cinderella Story,51438175,18629734,19000000.0,Warner Bros.,PG,95,Family,2004
A Cinderella Story,51438175,18629734,19000000.0,Warner Bros.,PG,95,Romance,2004
Resident Evil: Apocalypse,51201453,78141316,45000000.0,Screen Gems,R,94,Action,2004
Resident Evil: Apocalypse,51201453,78141316,45000000.0,Screen Gems,R,94,Horror,2004
Resident Evil: Apocalypse,51201453,78141316,45000000.0,Screen Gems,R,94,Sci-Fi,2004
Resident Evil: Apocalypse,51201453,78141316,45000000.0,Screen Gems,R,94,Thriller,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Adventure,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Animation,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Comedy,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Family,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Music,2004
Home on the Range,50030461,95327601,110000000.0,Walt Disney Studios Motion Pictures,PG,76,Western,2004
Secret Window,48022900,44890271,40000000.0,Sony Pictures Entertainment (SPE),PG-13,96,Drama,2004
Secret Window,48022900,44890271,40000000.0,Sony Pictures Entertainment (SPE),PG-13,96,Mystery,2004
Secret Window,48022900,44890271,40000000.0,Sony Pictures Entertainment (SPE),PG-13,96,Thriller,2004
Walking Tall,46437717,10786173,46000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,86,Action,2004
