Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Timeline,19481943,24453820,80000000.0,Paramount Pictures,PG-13,116,Sci-Fi,2003
Timeline,19481943,24453820,80000000.0,Paramount Pictures,PG-13,116,War,2003
A Mighty Wind,17781006,969240,36000000.0,Warner Bros.,PG-13,91,Comedy,2003
A Mighty Wind,17781006,969240,36000000.0,Warner Bros.,PG-13,91,Music,2003
Love Don't Cost a Thing,21924226,39846,36000000.0,Warner Bros.,PG-13,100,Comedy,2003
Love Don't Cost a Thing,21924226,39846,36000000.0,Warner Bros.,PG-13,100,Drama,2003
Love Don't Cost a Thing,21924226,39846,36000000.0,Warner Bros.,PG-13,100,Romance,2003
Deliver Us from Eva,17573594,17573594,36000000.0,Focus Features,R,105,Comedy,2003
Deliver Us from Eva,17573594,17573594,36000000.0,Focus Features,R,105,Drama,2003
Deliver Us from Eva,17573594,17573594,36000000.0,Focus Features,R,105,Romance,2003
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Biography,2002
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Comedy,2002
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Crime,2002
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Drama,2002
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Romance,2002
Confessions of a Dangerous Mind,16007718,17006087,30000000.0,Miramax,R,113,Thriller,2002
View from the Top,15614000,3912014,36000000.0,Miramax,PG-13,87,Comedy,2003
View from the Top,15614000,3912014,36000000.0,Miramax,PG-13,87,Romance,2003
My Boss's Daughter,15550605,2640400,14000000.0,Dimension Films,PG-13,86,Comedy,2003
My Boss's Daughter,15550605,2640400,14000000.0,Dimension Films,PG-13,86,Romance,2003
A Guy Thing,15545431,1886732,20000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,101,Comedy,2003
A Guy Thing,15545431,1886732,20000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,101,Romance,2003
Wrong Turn,15418790,13231785,12600000.0,Twentieth Century Fox,R,84,Horror,2003
Wrong Turn,15418790,13231785,12600000.0,Twentieth Century Fox,R,84,Thriller,2003
Dirty Pretty Things,8112414,5792352,36000000.0,Miramax,R,97,Crime,2003
Dirty Pretty Things,8112414,5792352,36000000.0,Miramax,R,97,Drama,2003
Dirty Pretty Things,8112414,5792352,36000000.0,Miramax,R,97,Thriller,2003
